ชื่อกลยุทธ์,หมวด,ลักษณะ,ตัวอย่างสถานการณ์,สาเหตุที่เกี่ยวข้องกับกลยุทธ์
ซ่อนดาบบนรอยยิ้ม,เผชิญศึก,การหลอกให้ศัตรูเชื่อในความสงบ ปกปิดการเคลื่อนไหว เตรียมการลับ พักตนไม่เคลื่อนไหวให้ฝ่ายตรงข้ามลดการระวัง รอโอกาสฉับพลันเมื่อศัตรูเผลอจึงโจมตีอย่างรวดเร็ว,ทูตของเรานำของขวัญเงินทองไปมอบให้แม่ทัพศัตรู พร้อมคำมั่นสัญญาสงบศึก ทหารฝ่ายตรงข้ามคลายความระวังในค่าย เมื่อค่ำชุดลาดตระเวนลับก็ปีนป้อมหลังค่ายเข้ายึดหอค่ายกลาง ก่อนสัญญาณตีฤกษ์ของเราจะดังขึ้นแล้วจู่โจมทั้งหมดพร้อมกัน,ความเชื่อใจที่เกิดจากการแลกของขวัญทำให้ฝ่ายตรงข้ามหยุดเสริมกำลังและไม่ระวัง ปลดกับดักให้เราส่งหน่วยลับซุ่มโจมตีได้
ซ่อนดาบบนรอยยิ้ม,เผชิญศึก,การหลอกให้ศัตรูเชื่อในความสงบ ปกปิดการเคลื่อนไหว เตรียมการลับ พักตนไม่เคลื่อนไหวให้ฝ่ายตรงข้ามลดการระวัง รอโอกาสฉับพลันเมื่อศัตรูเผลอจึงโจมตีอย่างรวดเร็ว,ขณะที่เราประกาศหยุดยิงชั่วคราวเพื่อเก็บศพและแบ่งพื้นที่ฝังศพ ฝ่ายศัตรูเชื่อใจว่ารักษากติกาสงคราม จึงถอยหน่วยยิงรอบค่ายออก แต่ในช่วงนั้นกองทหารเบาของเราลอบเข้าฆ่าเวรยามและทำลายป้อมเสาโทรข่าวก่อนสัญญาณรบจะดังขึ้น ยึดทั้งค่ายได้ในพริบตา,การอ้างกติกาสงครามทำให้ฝ่ายตรงข้ามปล่อยแนวป้องกันบางส่วน จึงใช้หน่วยเบาสุ่มลอบเข้าตัดกำลังย่อยก่อนเริ่มโจมตีหลัก
ซ่อนดาบบนรอยยิ้ม,เผชิญศึก,การหลอกให้ศัตรูเชื่อในความสงบ ปกปิดการเคลื่อนไหว เตรียมการลับ พักตนไม่เคลื่อนไหวให้ฝ่ายตรงข้ามลดการระวัง รอโอกาสฉับพลันเมื่อศัตรูเผลอจึงโจมตีอย่างรวดเร็ว,เราส่งสารเชิญแม่ทัพศัตรูมาร่วมดื่มสุราบนค่ายกลาง เข้าสร้างความไว้วางใจจนทั้งค่ายสังสรรค์เงียบสงัด กระทั่งชาวค่ายหลับหมดแล้วจึงแอบให้หน่วยจู่โจมเงียบยึดหอกยามและป้อมเล็ก ทำให้เมื่อรุ่งเช้ากระบวนแถวศัตรูไม่ทันตั้งตัวแล้วพ่ายยับ,การจัดงานเลี้ยงทำให้ทัพศัตรูวางใจว่ามิตรภาพไม่เป็นภัย เปิดโอกาสให้หน่วยลับลอบยึดตำแหน่งสำคัญก่อนการต่อสู้จริง
ซ่อนดาบบนรอยยิ้ม,เผชิญศึก,การหลอกให้ศัตรูเชื่อในความสงบ ปกปิดการเคลื่อนไหว เตรียมการลับ พักตนไม่เคลื่อนไหวให้ฝ่ายตรงข้ามลดการระวัง รอโอกาสฉับพลันเมื่อศัตรูเผลอจึงโจมตีอย่างรวดเร็ว,เมื่อสัญญาณเป่านกหวีดยุติการซ้อมรบ เสียงดังทั่วลานรบ ศัตรูหยุดซ้อมและถอนหอกกลับค่าย ฝ่ายเราฝังระเบิดไม้ใต้พื้นลาน เมื่อทุกฝ่ายนิ่งสนิท จำนวนระเบิดถูกจุดพร้อมกัน แผ่นดินสั่นสะเทือนทำให้เวรยามเสียขวัญ กองกำลังแตกย้ายค่ายทันที จึงเข้าล้อมรบซ้ำจนสิ้นกำลัง,การใช้สัญญาณยุติการซ้อมรบทำให้ทุกฝ่ายวางอาวุธชั่วคราว และถอนกำลังป้องกัน ปลดกับดักให้เราจุดระเบิดโจมตีพลพรรคเวรยามได้สำเร็จ
หลีตายแทนถาว,เผชิญศึก,"หมายถึงการใช้ประโยชน์จากสถานการณ์ที่เสียเปรียบในการศึกสงคราม ไม่เป็นผลดีแก่ตนเองและกองทัพ เกิดความเสียหายอย่างหลีกเลี่ยงไม่ได้ เพื่อที่จะแปรเปลี่ยนจากสถานการณ์ที่เป็นฝ่ายเสียเปรียบให้เป็นการได้เปรียบ จำต้องยอมเสีย ""มืด"" เพื่อที่จะได้ประโยชน์จาก ""สว่าง"" โดยมากจากเอกสารนิพนธ์ชื่อ ""ไก่ขั้น"" ใน ""ชุมนุมนิทานอู่เล่ยจู่"" กล่าวว่า ตนตายก็หัวขาดเคียงมา หนอนบ่อนไส้ถาวหลีตายแทนถาว ต้นไม้ตายแทนกัน พี่น้องไม่จำเป็นต้องเสียเมื่อเพื่อให้ได้ประโยชน์มากกว่า ความหมายถึงการได้ประโยชน์จากการเสียเปรียบในสถานการณ์วิกฤติ จำต้องเสียสละส่วนหนึ่งของกองทัพหรือของตนเอง เสียค่าตอบแทนเพียงเล็กน้อยเพื่อเป็นการแลกเปลี่ยนชัยชนะในทุกๆ ด้าน",การนำเอากลยุทธ์หลีตายแทนถาวไปใช้ได้แก่ โจโฉที่ยอมเสียหัวของของเสบียงทหารชั้นผู้น้อย เพื่อแลกกับขวัญและกำลังทหารทั้งกองทัพ กล่าวคือเมื่อคราวที่โจโฉร่วมมือกับเล่าปี่ ลิโป้และซุนเซ็กในการจัดการปราบอ้วนสุดจนพ่ายแพ้ อ้วนสุดสู้ไม่ได้จึงหลบหนีไปอยู่หยงที่หงหยง โจโฉทราบข่าวมาเตรียมกำลังทัพนำทัพไปตีอ้วนสุดหวังกะจัดอ้วนสุดให้สิ้นซาก และมอบหมายให้เล่าปี่ ลิโป้และซุนเซ็กนำกำลังทหารไปล้อมอ้วนสุดที่หงหยงทันที เมื่อได้รับสัญญาณจากโจโฉให้นำทัพบุกเข้าโจมตีพร้อมกัน อ้วนสุดเห็นโจโฉนำทัพมาอย่างยิ่งใหญ่ล้อมเมืองไว้เกิดความหวาดกลัวและไม่อาจต้านทานทัพของโจโฉได้ จึงพาทั้งครอบครัวหลบหนีไปซ่อนที่ตำบลหัวหย้อย โดยที่โจโฉไม่รู้ว่าโจโฉล้อมหงหยงอยู่ประมาณเดือนครึ่ง เสบียงอาหารเริ่มขาดแคลน ทำให้ทหารอ่อนล้าและเกิดความระส่ำระสายในกองทัพ โจโฉจึงวางกลอุบายให้กำลังทหารและไพร่พลของตนเองมีสีหน้าอิ่มเอิบในการทำศึก ด้วยการยืมหัวของนายทหารที่มีหน้าที่รับผิดชอบในการแจกจ่ายข้าวในกองทัพโจโฉใจประหารอ๋องที่ทำผิดและมีผู้ต้านทานในกองทัพว่าโจโฉเอาโทษทหารชั้นผู้น้อยในการขัดขวาง และสั่งให้เบิกข้าวเหลืออยู่แจกจ่ายให้ทหารจนหมด ทำให้ขวัญและกำลังใจของทหารกลับมาเข้มแข็งอีกครั้ง กระตือรือร้นในการทำศึกและสามารถยึดเอาเมืองหงหยงมาเป็นของตนได้สำเร็จ เรื่องความดีงามของอ๋องนายทหารชั้นผู้น้อยคนเดียวในกองทัพโจโฉก็ถือเป็นกลอุบายในการดึงขวัญและกำลังใจของทหารกลับคืนมา เพื่อแลกกับความสลายและการแตกพ่ายของกองทัพ ตรงตามกลยุทธ์หลีตายแทนถาวที่โจโฉยอมเสียสละส่วนหนึ่งของกองทัพเพื่อความอยู่รอดทั้งหมด และอีกครั้งที่โจโฉเลือกใช้กลยุทธ์หลีตายแทนถาวเพื่อเอาทหารในคราวรบ ยึดเมืองหงหยงของอ้วนสุด เมื่อทราบข่าวอ้วนสุดที่หนีไปหัวหย้อย จึงคิดจะยกทัพตามไปให้สิ้นซาก แต่เมื่อโจโฉรู้ข่าวเดียวก็คิดจะตีโต๋ จึงรีบนำกำลังทหารกลับซูโต๋ทันที ขณะนั้นอยู่ช่วงข้าวขาดแคลน กองลูกอ๋องอ้วน โจโฉต้องการจะปราบราษฎรของตนจึงสั่งห้ามทหารทั้งหมดห้ามเหยียบย่ำข้าวสาลีแม้แต่ต้นเดียว หากผู้ใดฝ่าฝืนมีโทษประหารไม่เว้นแม้แต่ม้าที่คุมกองทัพ ครั้งหนึ่งมีม้าของราษฎรคนหนึ่งเหยียบย่ำข้าวสาลีของราษฎร มีบันทึกหน้าม้ามาให้โจโฉ ทำให้ม้าตกใจวิ่งเตลิดเข้า ไปเหยียบย่ำข้าวสาลีในไร่นาเสียหายเป็นจำนวนมาก โจโฉโกหกกำลังของตนเองที่ทำโทษผู้ที่เหยียบย่ำข้าวสาลีของราษฎร ครั้นเห็นจะไม่ปฏิบัติตามคำสั่งตนก็เกรงจะไม่ได้รับการนับถือ,"ในเหตุการณ์นี้ โจโฉได้นำกลยุทธ์ “หลีตายแทนถาว” มาใช้โดยยอมเสียสละชีวิตนายทหารชั้นผู้น้อยผู้รับผิดชอบดูแลเสบียง เพื่อสร้างความเชื่อมั่นและกระตุ้นขวัญกำลังใจแก่ทหารทั้งกองทัพ เมื่อเสบียงขาดแคลนจนทหารอ่อนล้า โจโฉจึงประกาศโทษประหารต่อผู้ใดขัดขวางการเบิกข้าวและใช้การประหารนายทหเสบียงเป็นเครื่องยืนยันว่าไม่มีใครอยู่เหนือกฎเกณฑ์ ทำให้กำลังพลเกิดความศรัทธาและกล้าหาญยิ่งขึ้นจนสามารถตีหงหยงแตกได้สำเร็จ การกระทำนี้สะท้อนถึงการยอม “เสีย” ส่วนเล็กน้อยเพื่อให้ได้มาซึ่ง “กำไร” ที่ใหญ่กว่า ตามหลักของ “หลีตายแทนถาว” อย่างชัดเจน จนกองทัพโจโฉกลับมาเข้มแข็งและมีชัยเหนืออ้วนสุดได้อย่างงดงาม
"
หลีตายแทนถาว,เผชิญศึก,การยอมสละส่วนหนึ่งเพื่อแลกกับกำลังใจและผลประโยชน์ในภาพรวม ต้องยอมให้ “เสีย” บางสิ่งเพื่อให้ได้ “ชัยชนะ” อันยิ่งใหญ่ เกิดการพลิกสถานการณ์จากเสียเปรียบเป็นได้เปรียบ,หลังการสู้รบกลางทุ่ง เสบียงเริ่มขาด พลทหารกลุ่มหนึ่งหมดแรงจนเกือบถอยกองทัพถดถอย เสือโคร่งแม่ทัพสั่งให้แผนกเสบียงสังเวยข้าวสารทั้งหมดที่เหลือ โดยให้หัวหน้ากลุ่มยอมรับโทษถูกไล่ออกจากกองทัพ แลกกับการเปิดทางให้กองทหารหลักได้รับเสบียงเต็มที่ จึงปลุกขวัญพลทหารให้ฮึกเหิมบุกโค่นศัตรูได้สำเร็จ,การสละเสบียงเล็กน้อยแลกกับความเชื่อใจ ทำให้พลทหารหลักได้ข้าวกินเต็มที่ สภาพจิตใจกลับแข็งแกร่ง และสามารถพลิกสถานการณ์กลับมา
หลีตายแทนถาว,เผชิญศึก,การยอมสละส่วนหนึ่งเพื่อแลกกับกำลังใจและผลประโยชน์ในภาพรวม ต้องยอมให้ “เสีย” บางสิ่งเพื่อให้ได้ “ชัยชนะ” อันยิ่งใหญ่ เกิดการพลิกสถานการณ์จากเสียเปรียบเป็นได้เปรียบ,ขณะล้อมป้อมยาวนาน ทหารจวนสิ้นใจเพราะอาวุธชำรุด นายทหารผู้น้อยถูกลงโทษประหารเพื่อเป็นเครื่องหมายกําลังใจแก่พลที่เหลือ ทำให้ทหารส่วนใหญ่เกิดความกตัญญูและพร้อมรุมเข้าตีจนป้อมแตกในวันต่อมา,การสละนายทหารคนเดียวแลกกับแรงใจของทหารทั้งกอง สร้างความเด็ดเดี่ยวและศรัทธาจนพร้อมถวายชีวิตเพื่อชัยชนะ
หลีตายแทนถาว,เผชิญศึก,การยอมสละส่วนหนึ่งเพื่อแลกกับกำลังใจและผลประโยชน์ในภาพรวม ต้องยอมให้ “เสีย” บางสิ่งเพื่อให้ได้ “ชัยชนะ” อันยิ่งใหญ่ เกิดการพลิกสถานการณ์จากเสียเปรียบเป็นได้เปรียบ,เมื่อข่าวลือหน่วยเสริมนำกำลังมาช่วยแต่ล่าช้า แม่ทัพสั่งให้ทหารค่ายหน้าแสร้งพ่าย นักรบกลุ่มหนึ่งหลบหนีและถูกริบอาวุธเพื่อแลกกับการยกระดับขวัญกำลังของกองหนุน ทำให้กองหนุนเข้มแข็งบุกเสริมทันและสลายทัพศัตรูในที่สุด,การสละกองรบหน้าเพื่อเป็น “เหยื่อล่อ” สร้างภาพให้กองหนุนเชื่อว่าชัยชนะอยู่ในมือ จึงร่วมใจบุกเสริมจนได้ชัย
หลีตายแทนถาว,เผชิญศึก,การยอมสละส่วนหนึ่งเพื่อแลกกับกำลังใจและผลประโยชน์ในภาพรวม ต้องยอมให้ “เสีย” บางสิ่งเพื่อให้ได้ “ชัยชนะ” อันยิ่งใหญ่ เกิดการพลิกสถานการณ์จากเสียเปรียบเป็นได้เปรียบ,ขณะลำเลียงอาวุธเข้าป้อม ทหารเวรยามถูกสังเวยโดยตั้งใจให้ศัตรูจับตัว เพื่อให้ศัตรูเชื่อว่าเราจะถอยทัพ หลังศัตรูคลายกำลังออกสำรวจ กำลังกองเราลอบเข้ายึดป้อมและใช้ประโยชน์จากจังหวะนั้นรุมทำลายศัตรูจนพ่ายยับ,การเสียเวรยามแลกกับการเบี่ยงเบนความสนใจและการเปิดช่องให้กำลังหลักลอบเข้าตีป้อมได้ง่ายขึ้น
หลีตายแทนถาว,เผชิญศึก,การยอมสละส่วนหนึ่งเพื่อแลกกับกำลังใจและผลประโยชน์ในภาพรวม ต้องยอมให้ “เสีย” บางสิ่งเพื่อให้ได้ “ชัยชนะ” อันยิ่งใหญ่ เกิดการพลิกสถานการณ์จากเสียเปรียบเป็นได้เปรียบ,ในช่วงขาดน้ำ ทหารกลุ่มเล็กถูกส่งออกไปเป็นสายสื่อสาร พวกเขาถูกจับเป็นตัวประกันโดยศัตรู แต่แม่ทัพไม่ยอมแลกหมู่ด่านเพื่อรักษา “ขวัญ” ของกองทัพหลัก จนกองทัพหลักได้รับคำมั่นว่าสายสื่อสารจะไม่ถูกทำร้าย จึงได้ประโยชน์จากการติดต่อพร้อมบุกโจมตีได้สำเร็จ,การยอมแลกสายสื่อสารแลกกับคำมั่นศัตรูเพื่อรักษาการสื่อสารหลัก สร้างความเชื่อใจและขวัญกำลังใจแก่กองทัพโดยรวม
จูงแพะติดมือ,เผชิญศึก,การนำเอากลยุทธ์บาดเจ็บยอมได้ไปใช้ได้แก่ จิวยี่ที่แสร้งทำเป็นโกรธเคืองขงเบ้งในการทำศึกสงครามกับโจโฉในคราวศึกเซ็กเพ็ก เพื่อต้องการให้โจโฉหลงเชื่อในกลอุบายของตนเอง,"การนำเอากลยุทธ์บาดเจ็บยอมได้ไปใช้ได้แก่ จิวยี่ที่แสร้งทำเป็นโกรธเคืองขงเบ้งในการทำศึกสงครามกับโจโฉในคราวศึกเซ็กเพ็ก เพื่อต้องการให้โจโฉหลงเชื่อในกลอุบายของตนเองหมื่นให้เสร็จ สิ้นภายในระยะเวลาสิบวัน เพื่อหาเหตุผลที่จะฆ่าทิ้งหาก ขงเบ้งปฏิบัติตามสั่งไม่ได้ขงเบ้งเมื่อรับคำสั่งให้คมช่างทำลูกเกาทัณฑ์ สิบหมื่น ก็รู้เท่าทันความคิดของจิวยี่ที่คิดจะกำจัดตน จึงแสร้งเย้ยว่า ""ท่านจะเอาลูกเกาพัณฑ์สิบหมื่นในสิบวันนั้นนั้นนัก ข้าพเจ้าจะทำลูก เกาทัณฑ์ให้เสร็จภายในสามวัน"" จิวยี่จึงคาดโทษขงเบ้งไว้ด้วยการ ประหารชีวิตถ้าหากนำลูกเกาทัณฑ์สิบหมื่นมาไม่ได้ภายในสามวันตาม สัญญา โดยที่จิวยี่คาดการณ์ไว้ล่วงหน้าว่าขงเบ้งจะต้องเสียหัวไม่พ้น ตายเป็น แน่แท้หากปฏิบัติไม่ได้ตามวาจาที่ให้ไว้ ขงเบ้งเมื่อลั่นวาจา แก่จิวยี่แล้วก็วางตนตามปกติ ไม่ได้คุมช่างเตรียมทำลูกเกาทัณฑ์สิบ หมื่นแต่อย่างใด จนโลชกที่ปรึกษาซุนกวนเดือนเนื้อร้อนใจแทนขงเบ้ง ในการทำลูกเกาทัณฑ์สิบหมื่นในสามวัน เช้าวันที่สองตามสัญญาเกิด หมอกลงหนักหนาทึบไปทั่วบริเวณขงเบ้งสั่งการให้โลซกนำเรือจำนวน ยี่สิบลำ เอาผ้าดำคลุมฟางจำนวนมากมัดมัดผูกติดไว้ทั้งสองข้างของแคม เรือ และให้เอาพวนใหญ่ผูกตรึงเรือทุกลำไว้ด้วยกัน แล้วแจวเรือทุกลำ ไปยังค่ายทหารของโจโฉพร้อมชักชวนโลซกให้นั่งกินดื่มสุราภายในเรือ อย่างสำราญใจ เมื่อเรือทุกลำแจวไปถึงค่ายทหารโจโฉ ขงเบ้งก็สั่ง การให้ทหารตีกลองร้องปาวทำเสียงอีกทึกครึกโครมให้สนั่น หวั่นไหว ทหารโจโฉเมื่อได้ยินเสียงดังอื้ออึงด้านนอกค่ายประดุจศัตรูจำนวนมาก ยกกำลัง มาหมายจะบุกโจมตีค่าย แต่หมอกลงจัดทำให้โจโฉไม่กล้าน้ำ กำลังทหารออกไปเกรงจะเป็น กลอุบายของศัตรูโจโฉจึงสั่งการให้ ทหารภายในค่ายระดมยิงลูกเกาทัณฑ์จำนวนมากไปยังเรือดำ ที่มองไม่ เห็น ขงเบ้งก็สั่งการให้ชักหุ่นฟางขึ้นรับลูกเกาทัณฑ์ดั่งท่าฝนของทหาร โจโฉ ที่ระดมยิงมาทุกทิศทุกทาง เมื่อได้ลูกเกาทัณฑ์เต็มฝั่งด้านช้าย แล้วก็ให้วกเรือกลับเพื่อรับลูกเกาทัณฑ์ทางด้านขวาจนได้ลูกเกาทัณฑ์เต็มเรือทั้งยี่สิบลำ ครั้นขงเบ้งเห็นลูกเกาทัณฑ์ดิตที่ที่นฬางมากพอกว่า จำนวนที่จิวยี่ต้อง การ ก็ให้ทหารหยุดส่งเสียงตีกลองร้องป่าวและให้หัน หัวเรือหลบหนี ก่อนจากไปขงเบ้งได้ตะโกนเยาะเย้ยโจโฉให้เจ็บใจว่า ""ขอบใจมหาอุปราชให้ลูกเกาทัณฑ์แก่เราเป็นอันมาก แลลูกเกาทัณฑ์นี้ ก็จะกลับมารบสนองคุณท่าน""เมื่อกลับถึงกังตั๋งขงเบ้งสั่งการให้ทหาร นำลูกเกาทัณฑ์จากหุ่นฟางมานับพบว่าได้จ้านวน มากกว่าสิบหมื่น และให้ทหารนำไปมอบให้แก่จิวยี่ตามสัญญา เมื่อจิวยี่ได้รับลูกเกาทัณฑ์ มากกว่าสิบหมื่นของขงเบ้งถึงกับตะลึงใน สติปัญญาอันหลักแหลมของ ขงเบ้งที่ตนเองวางกลอุบายหมายกำจัด แต่กลับไม่สามารถกำจัดได้ ตามที่คิด กลยุทธ์จูงแพะติดมือของขงเบ้ง ก็ประสบความสำเร็จในการ ลวงเอาลูกเกาทัณฑ์จำนวนมากจากโจโฉ มามอบให้แก่จิวยี่ตามสัญญา ภายในสามวันโดยไม่ต้องออกแรงและไม่ต้องโทษประหาร ชีวิตได้อย่าง งตงาม",
จูงแพะติดมือ,เผชิญศึก,การแสร้งอ่อนแอหรือแสดงท่าทียอมตาม เพื่อให้ศัตรูหลงเชื่อและมอบทรัพยากรหรือข้อมูลสำคัญมาให้ จากนั้นใช้สิ่งที่ได้มาเป็นประโยชน์ในการพลิกสถานการณ์ให้ได้เปรียบ,ขงเบ้งแสร้งรับคำสั่งจิวยี่ให้จัดทำลูกเกาทัณฑ์สิบหมื่นภายในสามวัน แล้วใช้หมอกและเรือดำหลอกโจโฉให้ยิงใส่หุ่นฟางจนได้ทรัพยากรมามากกว่า จึงส่งมอบตามสัญญาโดยไม่ต้องทำงานหนักพลเมืองใด ถูกตัดสินโทษตายอย่างที่จิวยี่ตั้งใจ,จิวยี่เชื่อว่าขงเบ้งจะทำไม่สำเร็จ จึงติดสินโทษศัตรูเองด้วยทรัพยากรจำนวนมากที่คิดว่าจะไม่ได้ ขงเบ้งจึงชนะด้วยคำสัญญาและการต้มตุ๋นทรัพยากรจากโจโฉ
จูงแพะติดมือ,เผชิญศึก,การแสร้งอ่อนแอหรือแสดงท่าทียอมตาม เพื่อให้ศัตรูหลงเชื่อและมอบทรัพยากรหรือข้อมูลสำคัญมาให้ จากนั้นใช้สิ่งที่ได้มาเป็นประโยชน์ในการพลิกสถานการณ์ให้ได้เปรียบ,เมืองชายแดนประกาศยอมถอยให้กองทัพใหญ่ เพื่อแลกกับการส่งเสบียงและเครื่องมือป้อมปราการจำนวนมากจากศัตรู แต่ทันทีที่ได้รับมอบนั้น จึงสั่งลอบยึดคลังเสบียงและป้อมยามคืน พลเมืองฝ่ายศัตรูไม่ทันตั้งตัว,ศัตรูต้องการรักษาหน้าและเชื่อว่าการให้เสบียงแลกกับการถอนกำลังจะสร้างสันติ จึงส่งมอบทรัพยากรเต็มที่ แต่กลับถูกใช้ทำลายเส้นทางกลับของตนเอง
จูงแพะติดมือ,เผชิญศึก,การแสร้งอ่อนแอหรือแสดงท่าทียอมตาม เพื่อให้ศัตรูหลงเชื่อและมอบทรัพยากรหรือข้อมูลสำคัญมาให้ จากนั้นใช้สิ่งที่ได้มาเป็นประโยชน์ในการพลิกสถานการณ์ให้ได้เปรียบ,แม่ทัพฝ่ายหนึ่งเสนอเจรจาสันติภาพ ร้องขอทองแดงและหินลับดาบเพื่อแลกกับการหยุดยิง ฝ่ายตรงข้ามเห็นความจริงใจจึงมอบทองแดงมาจำนวนมาก กระทั่งกลางคืนจึงใช้ทองแดงล่อเหยื่อล่อให้ศัตรูเข้าไปในดงล้อม แล้วจู่โจมจนแตกพ่าย,ศัตรูเชื่อว่าได้รับสัมปทานวัตถุดิบแลกกับสันติ จึงส่งมอบวัตถุดิบเต็มกำลัง แต่กลับถูกใช้สร้างกับดักและดักล้อมก่อนทำลายกำลังพล
จูงแพะติดมือ,เผชิญศึก,การแสร้งอ่อนแอหรือแสดงท่าทียอมตาม เพื่อให้ศัตรูหลงเชื่อและมอบทรัพยากรหรือข้อมูลสำคัญมาให้ จากนั้นใช้สิ่งที่ได้มาเป็นประโยชน์ในการพลิกสถานการณ์ให้ได้เปรียบ,กองเรือลำหนึ่งส่งสาส์นขอแลกเปลี่ยนทหารบาดเจ็บกับกองเรือศัตรู ฝ่ายศัตรูเชื่อใจจึงมอบยารักษาโรคและเสบียง ทางเราจึงนำทั้งหมดลอบเข้ายึดค่ายหลังของศัตรูแล้วประกาศเข้ายึดเมืองทันที,ศัตรูเชื่อในวัฒนธรรมแลกเปลี่ยนผู้ป่วย-บาดเจ็บ จึงส่งมอบสิ่งจำเป็น แต่กลับตกเป็นเหยื่อของการยึดค่ายและเมืองฝ่ายตรงข้าม
จูงแพะติดมือ,เผชิญศึก,การแสร้งอ่อนแอหรือแสดงท่าทียอมตาม เพื่อให้ศัตรูหลงเชื่อและมอบทรัพยากรหรือข้อมูลสำคัญมาให้ จากนั้นใช้สิ่งที่ได้มาเป็นประโยชน์ในการพลิกสถานการณ์ให้ได้เปรียบ,นายทหารรับใช้ตั้งคำมั่นขายข่าวลับให้ศัตรู แต่เมื่อได้ทองคำและสัญญาปลอดภัยแล้ว กลับเปิดเผยตำแหน่งของกองทัพหลัก ฝ่ายเราจึงยกกำลังไปดักโจมตีพลขวัญเสียของศัตรูก่อนที่พวกเขาจะระวังตัวได้ทัน,ศัตรูเชื่อว่าข่าวลับเป็นสินค้าชั้นดี จึงจ่ายทองคำและรับคำมั่นปลอดภัย แต่กลับถูกเบี่ยงเบนข้อมูลให้เข้าดักโจมตีและถูกทำลายกำลังพลก่อนจะรู้ตัว
